current_a,current_ma,power_w,trend_direction,trend_percent_change,signal_quality,recommendation_type,severity,estimated_savings_kwh_per_day,energy_wasted_kwh_per_day
4.739,4739.0,1089.97,rising,-1.18,fair,high_load,high,9.1557,26.1593
9.4223,9422.3,2167.13,stable,16.94,strong,high_load,high,18.2039,52.0111
5.1115,5111.5,1175.64,stable,4.83,strong,high_load,high,9.8754,28.2154
6.7768,6776.8,1558.66,stable,-2.8,fair,high_load,high,13.0927,37.4078
7.3916,7391.6,1700.07,stable,10.23,fair,high_load,high,14.2806,40.8017
8.2875,8287.5,1906.12,rising,6.02,strong,high_load,high,16.0114,45.7469
7.6566,7656.6,1761.02,falling,-2.2,fair,high_load,high,14.7926,42.2645
6.3207,6320.7,1453.76,rising,13.21,fair,high_load,high,12.2116,34.8902
7.475,7475.0,1719.25,falling,8.76,fair,high_load,high,14.4417,41.262
5.6962,5696.2,1310.13,rising,-7.48,strong,high_load,high,11.0051,31.4431
10.0025,10002.5,2300.57,stable,24.96,strong,high_load,high,19.3248,55.2137
8.0171,8017.1,1843.93,falling,4.37,strong,high_load,high,15.489,44.2543
9.5978,9597.8,2207.49,stable,16.29,strong,high_load,high,18.5429,52.9798
9.598,9598.0,2207.54,stable,5.16,fair,high_load,high,18.5433,52.981
7.7004,7700.4,1771.09,stable,-11.57,strong,high_load,high,14.8772,42.5062
5.6904,5690.4,1308.79,falling,-6.11,strong,high_load,high,10.9938,31.411
7.93,7930.0,1823.9,falling,16.19,strong,high_load,high,15.3208,43.7736
5.3623,5362.3,1233.33,rising,21.75,strong,high_load,high,10.36,29.5999
9.808,9808.0,2255.84,stable,-14.85,strong,high_load,high,18.9491,54.1402
5.7025,5702.5,1311.57,stable,6.9,strong,high_load,high,11.0172,31.4777
6.5883,6588.3,1515.31,stable,23.29,strong,high_load,high,12.7286,36.3674
8.9931,8993.1,2068.41,rising,6.67,strong,high_load,high,17.3746,49.6418
9.1401,9140.1,2102.22,falling,11.83,strong,high_load,high,17.6586,50.4533
11.9137,11913.7,2740.15,falling,13.95,fair,high_load,high,23.0173,65.7636
7.3838,7383.8,1698.27,stable,-0.51,strong,high_load,high,14.2655,40.7585
5.0677,5067.7,1165.57,falling,17.19,strong,high_load,high,9.7908,27.9737
7.8808,7880.8,1812.58,falling,13.62,fair,high_load,high,15.2257,43.5019
5.3129,5312.9,1221.97,stable,-8.62,strong,high_load,high,10.2645,29.3273
6.8683,6868.3,1579.71,stable,24.48,strong,high_load,high,13.2696,37.913
4.4123,4412.3,1014.83,rising,17.79,strong,high_load,high,8.5246,24.3559
8.8577,8857.7,2037.27,stable,3.22,strong,high_load,high,17.1131,48.8945
8.2135,8213.5,1889.11,falling,18.8,strong,high_load,high,15.8685,45.3386
6.2061,6206.1,1427.4,falling,-11.08,strong,high_load,high,11.9902,34.2576
7.0577,7057.7,1623.27,falling,3.25,fair,high_load,high,13.6355,38.9585
4.9094,4909.4,1129.16,rising,-3.29,strong,high_load,high,9.4849,27.0998
4.8876,4887.6,1124.15,rising,-3.9,strong,high_load,high,9.4429,26.9796
6.9933,6993.3,1608.46,stable,11.72,strong,high_load,high,13.5111,38.603
6.9241,6924.1,1592.54,stable,13.67,strong,high_load,high,13.3773,38.221
5.5421,5542.1,1274.68,stable,10.4,strong,high_load,high,10.7073,30.5923
6.7933,6793.3,1562.46,falling,-11.14,strong,high_load,high,13.1247,37.499
11.7248,11724.8,2696.7,falling,-13.46,strong,high_load,high,22.6523,64.7208
3.9359,3935.9,905.26,falling,19.9,strong,high_load,high,7.6042,21.7262
5.5363,5536.3,1273.35,rising,-4.21,strong,high_load,high,10.6961,30.5604
7.9976,7997.6,1839.45,stable,-11.86,strong,high_load,high,15.4514,44.1468
7.9589,7958.9,1830.55,rising,13.85,strong,high_load,high,15.3766,43.9332
6.7694,6769.4,1556.96,falling,15.8,strong,high_load,high,13.0785,37.367
10.4229,10422.9,2397.27,falling,-7.72,strong,high_load,high,20.1371,57.5345
5.8921,5892.1,1355.18,stable,-5.19,strong,high_load,high,11.3835,32.5243
5.6568,5656.8,1301.06,falling,12.53,strong,high_load,high,10.9289,31.2254
7.3236,7323.6,1684.43,rising,7.21,strong,high_load,high,14.1492,40.4263
10.2461,10246.1,2356.6,stable,6.5,strong,high_load,high,19.7954,56.5584
7.158,7158.0,1646.34,rising,11.02,strong,high_load,high,13.8293,39.5122
7.2873,7287.3,1676.08,stable,3.46,fair,high_load,high,14.0791,40.2259
7.9363,7936.3,1825.35,falling,9.93,strong,high_load,high,15.3329,43.8084
4.9399,4939.9,1136.18,rising,14.29,strong,high_load,high,9.5439,27.2683
8.4259,8425.9,1937.96,stable,-1.61,strong,high_load,high,16.2789,46.511
6.0831,6083.1,1399.11,falling,-3.2,strong,high_load,high,11.7525,33.5786
8.8854,8885.4,2043.64,stable,6.3,strong,high_load,high,17.1666,49.0474
4.3508,4350.8,1000.68,falling,6.42,strong,high_load,high,8.4057,24.0163
7.5873,7587.3,1745.08,rising,12.0,strong,high_load,high,14.6587,41.8819
6.7976,6797.6,1563.45,rising,-0.39,fair,high_load,high,13.133,37.5228
10.3997,10399.7,2391.93,falling,22.91,strong,high_load,high,20.0922,57.4063
6.3348,6334.8,1457.0,falling,2.48,strong,high_load,high,12.2388,34.968
11.3074,11307.4,2600.7,rising,-9.6,strong,high_load,high,21.8459,62.4168
10.641,10641.0,2447.43,stable,-8.11,fair,high_load,high,20.5584,58.7383
6.2946,6294.6,1447.76,rising,-6.22,strong,high_load,high,12.1612,34.7462
11.4435,11443.5,2632.01,falling,-13.08,strong,high_load,high,22.1089,63.1682
4.2249,4224.9,971.73,rising,19.92,strong,high_load,high,8.1625,23.3215
9.3083,9308.3,2140.91,stable,13.41,strong,high_load,high,17.9836,51.3818
8.8082,8808.2,2025.89,rising,2.85,fair,high_load,high,17.0175,48.6214
3.5023,3502.3,805.53,stable,-13.41,strong,high_load,high,6.7665,19.3327
11.5567,11556.7,2658.04,falling,-1.7,strong,high_load,high,22.3275,63.793
5.9959,5995.9,1379.06,stable,14.48,strong,high_load,high,11.5841,33.0974
5.2716,5271.6,1212.47,falling,-8.69,strong,high_load,high,10.1847,29.0993
4.8467,4846.7,1114.74,falling,20.79,strong,high_load,high,9.3638,26.7538
9.0026,9002.6,2070.6,stable,12.19,strong,high_load,high,17.393,49.6944
7.2679,7267.9,1671.62,rising,2.28,strong,high_load,high,14.0416,40.1189
10.6891,10689.1,2458.49,rising,15.11,strong,high_load,high,20.6513,59.0038
11.214,11214.0,2579.22,rising,-10.41,fair,high_load,high,21.6654,61.9013
7.2276,7227.6,1662.35,stable,18.69,strong,high_load,high,13.9637,39.8964
10.0824,10082.4,2318.95,falling,-7.87,strong,high_load,high,19.4792,55.6548
11.956,11956.0,2749.88,stable,9.98,strong,high_load,high,23.099,65.9971
10.7286,10728.6,2467.58,rising,18.3,strong,high_load,high,20.7277,59.2219
5.8743,5874.3,1351.09,rising,1.03,strong,high_load,high,11.3492,32.4262
9.6569,9656.9,2221.09,rising,3.01,fair,high_load,high,18.6572,53.3062
11.7876,11787.6,2711.15,falling,-4.83,fair,high_load,high,22.7737,65.0676
9.099,9099.0,2092.77,rising,-1.42,fair,high_load,high,17.5793,50.2265
11.9935,11993.5,2758.5,stable,4.41,strong,high_load,high,23.1714,66.204
10.9794,10979.4,2525.26,falling,-11.64,strong,high_load,high,21.2122,60.6062
6.3157,6315.7,1452.61,rising,24.5,strong,high_load,high,12.2019,34.8626
3.6739,3673.9,845.0,falling,8.29,fair,high_load,high,7.098,20.28
10.9897,10989.7,2527.63,stable,2.68,strong,high_load,high,21.2321,60.6631
11.6634,11663.4,2682.58,falling,24.46,strong,high_load,high,22.5337,64.3819
11.8258,11825.8,2719.93,falling,-1.13,strong,high_load,high,22.8474,65.2783
3.5809,3580.9,823.61,falling,22.95,strong,high_load,high,6.9183,19.7666
9.2494,9249.4,2127.36,stable,-6.33,strong,high_load,high,17.8698,51.0566
4.117,4117.0,946.91,rising,8.8,strong,high_load,high,7.954,22.7258
7.7414,7741.4,1780.52,falling,18.33,strong,high_load,high,14.9564,42.7325
7.4452,7445.2,1712.4,stable,-10.06,strong,high_load,high,14.3842,41.0976
5.4938,5493.8,1263.57,stable,-6.65,fair,high_load,high,10.614,30.3257
3.9641,3964.1,911.74,falling,4.57,strong,high_load,high,7.6586,21.8818
11.3843,11384.3,2618.39,falling,-2.84,strong,high_load,high,21.9945,62.8414
8.6679,8667.9,1993.62,stable,5.16,strong,high_load,high,16.7464,47.8469
6.5194,6519.4,1499.46,stable,15.75,strong,high_load,high,12.5955,35.987
11.2457,11245.7,2586.51,falling,18.19,strong,high_load,high,21.7267,62.0762
7.3021,7302.1,1679.48,falling,21.5,strong,high_load,high,14.1076,40.3075
6.9376,6937.6,1595.65,falling,5.55,strong,high_load,high,13.4035,38.2956
7.9323,7932.3,1824.43,rising,-10.86,strong,high_load,high,15.3252,43.7863
6.4681,6468.1,1487.66,stable,-4.17,strong,high_load,high,12.4963,35.7038
4.1048,4104.8,944.1,rising,-6.48,strong,high_load,high,7.9304,22.6584
11.311,11311.0,2601.53,rising,-1.66,strong,high_load,high,21.8529,62.4367
10.6881,10688.1,2458.26,falling,24.14,strong,high_load,high,20.6494,58.9982
7.3308,7330.8,1686.08,stable,11.05,strong,high_load,high,14.1631,40.4659
4.1502,4150.2,954.55,falling,24.55,fair,high_load,high,8.0182,22.9092
7.4393,7439.3,1711.04,rising,18.06,strong,high_load,high,14.3727,41.065
7.9252,7925.2,1822.8,falling,2.57,strong,high_load,high,15.3115,43.7472
3.5285,3528.5,811.56,falling,11.88,strong,high_load,high,6.8171,19.4774
7.4333,7433.3,1709.66,falling,7.74,strong,high_load,high,14.3611,41.0318
4.1779,4177.9,960.92,rising,10.14,strong,high_load,high,8.0717,23.0621
11.6858,11685.8,2687.73,rising,9.08,strong,high_load,high,22.5769,64.5055
6.3996,6399.6,1471.91,stable,-2.05,strong,high_load,high,12.364,35.3258
8.3185,8318.5,1913.26,stable,9.27,strong,high_load,high,16.0714,45.9182
10.3953,10395.3,2390.92,rising,1.24,strong,high_load,high,20.0837,57.3821
8.2046,8204.6,1887.06,falling,22.66,strong,high_load,high,15.8513,45.2894
7.6011,7601.1,1748.25,rising,-4.18,strong,high_load,high,14.6853,41.958
7.3903,7390.3,1699.77,falling,16.57,strong,high_load,high,14.2781,40.7945
10.0466,10046.6,2310.72,stable,15.31,strong,high_load,high,19.41,55.4573
8.5611,8561.1,1969.05,falling,3.55,strong,high_load,high,16.54,47.2572
7.5548,7554.8,1737.6,falling,-2.44,fair,high_load,high,14.5958,41.7024
10.7962,10796.2,2483.13,falling,5.33,strong,high_load,high,20.8583,59.5951
6.8873,6887.3,1584.08,stable,-6.79,strong,high_load,high,13.3063,38.0179
11.4239,11423.9,2627.5,falling,-2.22,strong,high_load,high,22.071,63.06
8.2794,8279.4,1904.26,falling,-12.53,strong,high_load,high,15.9958,45.7022
7.2239,7223.9,1661.5,rising,15.61,strong,high_load,high,13.9566,39.876
7.8306,7830.6,1801.04,falling,11.59,strong,high_load,high,15.1287,43.225
7.2364,7236.4,1664.37,stable,5.27,strong,high_load,high,13.9807,39.9449
10.2169,10216.9,2349.89,stable,3.36,strong,high_load,high,19.7391,56.3974
11.6114,11611.4,2670.62,stable,0.39,fair,high_load,high,22.4332,64.0949
5.6662,5666.2,1303.23,falling,2.56,fair,high_load,high,10.9471,31.2775
4.7455,4745.5,1091.46,stable,-1.55,strong,high_load,high,9.1683,26.195
10.3222,10322.2,2374.11,falling,2.92,strong,high_load,high,19.9425,56.9786
5.7824,5782.4,1329.95,rising,16.39,strong,high_load,high,11.1716,31.9188
6.6447,6644.7,1528.28,rising,0.75,strong,high_load,high,12.8376,36.6787
8.2176,8217.6,1890.05,falling,-1.57,fair,high_load,high,15.8764,45.3612
5.6642,5664.2,1302.77,stable,-0.17,strong,high_load,high,10.9433,31.2665
5.7021,5702.1,1311.48,stable,-2.87,strong,high_load,high,11.0164,31.4755
10.1263,10126.3,2329.05,rising,-8.36,strong,high_load,high,19.564,55.8972
7.001,7001.0,1610.23,rising,-11.88,strong,high_load,high,13.5259,38.6455
10.7833,10783.3,2480.16,stable,-7.04,strong,high_load,high,20.8333,59.5238
9.2881,9288.1,2136.26,rising,-10.14,strong,high_load,high,17.9446,51.2702
11.8091,11809.1,2716.09,stable,-5.55,strong,high_load,high,22.8152,65.1862
6.1198,6119.8,1407.55,stable,-1.34,strong,high_load,high,11.8234,33.7812
6.7537,6753.7,1553.35,falling,-1.51,fair,high_load,high,13.0481,37.2804
10.8891,10889.1,2504.49,stable,11.7,strong,high_load,high,21.0377,60.1078
8.8691,8869.1,2039.89,stable,19.47,strong,high_load,high,17.1351,48.9574
11.8031,11803.1,2714.71,rising,2.16,strong,high_load,high,22.8036,65.153
8.0959,8095.9,1862.06,stable,-9.04,strong,high_load,high,15.6413,44.6894
9.0563,9056.3,2082.95,rising,1.61,strong,high_load,high,17.4968,49.9908
11.5688,11568.8,2660.82,falling,10.82,strong,high_load,high,22.3509,63.8597
3.9266,3926.6,903.12,rising,6.64,strong,high_load,high,7.5862,21.6749
3.6032,3603.2,828.74,rising,-5.31,strong,high_load,high,6.9614,19.8898
9.2404,9240.4,2125.29,stable,7.58,strong,high_load,high,17.8524,51.007
4.9576,4957.6,1140.25,rising,0.18,strong,high_load,high,9.5781,27.366
5.6829,5682.9,1307.07,falling,14.18,strong,high_load,high,10.9794,31.3697
8.4431,8443.1,1941.91,rising,23.97,strong,high_load,high,16.312,46.6058
11.8021,11802.1,2714.48,rising,1.31,strong,high_load,high,22.8016,65.1475
9.1578,9157.8,2106.29,stable,6.07,fair,high_load,high,17.6928,50.551
8.3231,8323.1,1914.31,rising,-3.12,fair,high_load,high,16.0802,45.9434
8.6096,8609.6,1980.21,rising,16.45,strong,high_load,high,16.6338,47.525
7.1484,7148.4,1644.13,falling,4.13,strong,high_load,high,13.8107,39.4591
8.1649,8164.9,1877.93,falling,21.64,strong,high_load,high,15.7746,45.0703
6.4843,6484.3,1491.39,rising,-9.84,strong,high_load,high,12.5277,35.7934
7.6831,7683.1,1767.11,stable,11.05,strong,high_load,high,14.8437,42.4106
3.8886,3888.6,894.38,rising,22.98,strong,high_load,high,7.5128,21.4651
10.4112,10411.2,2394.58,rising,14.19,fair,high_load,high,20.1145,57.4699
8.8982,8898.2,2046.59,stable,-0.17,strong,high_load,high,17.1914,49.1182
7.2579,7257.9,1669.32,stable,0.99,fair,high_load,high,14.0223,40.0637
6.8906,6890.6,1584.84,falling,10.84,strong,high_load,high,13.3127,38.0362
9.2757,9275.7,2133.41,stable,-10.45,strong,high_load,high,17.9206,51.2018
8.3743,8374.3,1926.09,falling,5.56,strong,high_load,high,16.1792,46.2262
5.7849,5784.9,1330.53,rising,20.4,strong,high_load,high,11.1765,31.9327
5.2067,5206.7,1197.54,rising,15.93,strong,high_load,high,10.0593,28.741
4.5102,4510.2,1037.35,rising,11.13,strong,high_load,high,8.7137,24.8964
4.9201,4920.1,1131.62,rising,-2.4,strong,high_load,high,9.5056,27.1589
5.2175,5217.5,1200.03,rising,14.22,strong,high_load,high,10.0803,28.8007
7.2707,7270.7,1672.26,falling,4.47,strong,high_load,high,14.047,40.1342
11.3151,11315.1,2602.47,stable,4.03,strong,high_load,high,21.8607,62.4593
10.0573,10057.3,2313.18,stable,-7.78,fair,high_load,high,19.4307,55.5163
4.4931,4493.1,1033.41,stable,11.69,strong,high_load,high,8.6806,24.8018
5.8772,5877.2,1351.76,stable,-0.99,fair,high_load,high,11.3548,32.4422
5.6031,5603.1,1288.71,falling,-4.21,strong,high_load,high,10.8252,30.929
10.0886,10088.6,2320.38,rising,11.24,strong,high_load,high,19.4912,55.6891
7.8587,7858.7,1807.5,falling,5.36,strong,high_load,high,15.183,43.38
7.6638,7663.8,1762.67,rising,3.12,strong,high_load,high,14.8064,42.3041
6.4731,6473.1,1488.81,rising,-1.8,strong,high_load,high,12.506,35.7314
7.597,7597.0,1747.31,rising,6.77,strong,high_load,high,14.6774,41.9354
10.5354,10535.4,2423.14,falling,-4.69,fair,high_load,high,20.3544,58.1554
9.3469,9346.9,2149.79,stable,0.05,strong,high_load,high,18.0582,51.595
8.6027,8602.7,1978.62,rising,-0.43,strong,high_load,high,16.6204,47.4869
4.7555,4755.5,1093.76,rising,-1.56,strong,high_load,high,9.1876,26.2502
5.3412,5341.2,1228.48,rising,0.95,strong,high_load,high,10.3192,29.4835
8.3743,8374.3,1926.09,rising,-6.78,strong,high_load,high,16.1792,46.2262
4.5465,4546.5,1045.69,falling,1.47,strong,high_load,high,8.7838,25.0966
5.1094,5109.4,1175.16,rising,-9.24,strong,high_load,high,9.8713,28.2038
8.745,8745.0,2011.35,stable,-2.38,strong,high_load,high,16.8953,48.2724
4.8868,4886.8,1123.96,falling,22.06,strong,high_load,high,9.4413,26.975
6.0822,6082.2,1398.91,rising,-4.43,strong,high_load,high,11.7508,33.5738
4.61,4610.0,1060.3,falling,21.18,fair,high_load,high,8.9065,25.4472
6.1007,6100.7,1403.16,rising,17.1,fair,high_load,high,11.7865,33.6758
9.0233,9023.3,2075.36,stable,10.87,strong,high_load,high,17.433,49.8086
9.1208,9120.8,2097.78,rising,11.44,fair,high_load,high,17.6214,50.3467
4.8165,4816.5,1107.79,rising,14.3,strong,high_load,high,9.3054,26.587
7.6642,7664.2,1762.77,stable,23.08,strong,high_load,high,14.8073,42.3065
3.8019,3801.9,874.44,falling,0.17,fair,high_load,high,7.3453,20.9866
8.1942,8194.2,1884.67,falling,20.53,fair,high_load,high,15.8312,45.2321
9.6037,9603.7,2208.85,rising,5.61,strong,high_load,high,18.5543,53.0124
5.5442,5544.2,1275.17,stable,2.5,strong,high_load,high,10.7114,30.6041
9.0769,9076.9,2087.69,stable,20.7,strong,high_load,high,17.5366,50.1046
7.9364,7936.4,1825.37,rising,4.32,strong,high_load,high,15.3331,43.8089
6.8064,6806.4,1565.47,stable,14.66,strong,high_load,high,13.1499,37.5713
8.0925,8092.5,1861.27,rising,12.44,strong,high_load,high,15.6347,44.6705
8.2317,8231.7,1893.29,stable,8.15,strong,high_load,high,15.9036,45.439
8.5902,8590.2,1975.75,stable,11.41,strong,high_load,high,16.5963,47.418
7.9071,7907.1,1818.63,rising,-3.09,strong,high_load,high,15.2765,43.6471
11.2372,11237.2,2584.56,stable,-9.23,fair,high_load,high,21.7103,62.0294
4.6075,4607.5,1059.72,stable,18.18,strong,high_load,high,8.9016,25.4333
11.9146,11914.6,2740.36,rising,-7.24,strong,high_load,high,23.019,65.7686
4.0691,4069.1,935.89,rising,-14.9,strong,high_load,high,7.8615,22.4614
10.1883,10188.3,2343.31,stable,13.91,strong,high_load,high,19.6838,56.2394
5.4012,5401.2,1242.28,rising,-2.31,strong,high_load,high,10.4352,29.8147
9.3977,9397.7,2161.47,falling,-5.28,strong,high_load,high,18.1563,51.8753
10.1241,10124.1,2328.54,falling,22.51,fair,high_load,high,19.5597,55.885
8.5189,8518.9,1959.35,rising,1.39,strong,high_load,high,16.4585,47.0244
11.2317,11231.7,2583.29,stable,-6.01,strong,high_load,high,21.6996,61.999
6.7205,6720.5,1545.72,rising,13.19,strong,high_load,high,12.984,37.0973
6.9389,6938.9,1595.95,falling,16.72,strong,high_load,high,13.406,38.3028
11.0554,11055.4,2542.74,rising,21.95,strong,high_load,high,21.359,61.0258
7.7424,7742.4,1780.75,falling,7.88,strong,high_load,high,14.9583,42.738
10.2225,10222.5,2351.18,falling,22.54,strong,high_load,high,19.7499,56.4283
5.2051,5205.1,1197.17,rising,16.3,strong,high_load,high,10.0562,28.7321
5.4194,5419.4,1246.46,falling,-4.89,strong,high_load,high,10.4703,29.915
10.633,10633.0,2445.59,rising,19.89,strong,high_load,high,20.543,58.6942
3.6179,3617.9,832.12,rising,-2.03,strong,high_load,high,6.9898,19.9709
7.9233,7923.3,1822.36,rising,-5.37,fair,high_load,high,15.3078,43.7366
8.0925,8092.5,1861.27,falling,12.75,strong,high_load,high,15.6347,44.6705
10.745,10745.0,2471.35,stable,2.31,strong,high_load,high,20.7593,59.3124
3.5668,3566.8,820.36,stable,22.03,strong,high_load,high,6.891,19.6886
4.721,4721.0,1085.83,stable,14.67,strong,high_load,high,9.121,26.0599
4.9658,4965.8,1142.13,falling,12.07,strong,high_load,high,9.5939,27.4111
5.25,5250.0,1207.5,stable,9.25,strong,high_load,high,10.143,28.98
5.6225,5622.5,1293.17,rising,18.85,fair,high_load,high,10.8626,31.0361
7.9205,7920.5,1821.71,rising,17.35,strong,high_load,high,15.3024,43.721
5.0688,5068.8,1165.82,falling,21.88,fair,high_load,high,9.7929,27.9797
5.4233,5423.3,1247.36,falling,-9.62,strong,high_load,high,10.4778,29.9366
9.0754,9075.4,2087.34,rising,1.89,strong,high_load,high,17.5337,50.0962
8.7945,8794.5,2022.73,falling,20.94,strong,high_load,high,16.9909,48.5455
3.9444,3944.4,907.21,rising,23.26,strong,high_load,high,7.6206,21.773
4.035,4035.0,928.05,rising,-0.2,strong,high_load,high,7.7956,22.2732
7.2309,7230.9,1663.11,falling,2.19,strong,high_load,high,13.9701,39.9146
4.3621,4362.1,1003.28,falling,19.88,strong,high_load,high,8.4276,24.0787
10.6971,10697.1,2460.33,stable,3.1,strong,high_load,high,20.6668,59.0479
4.2721,4272.1,982.58,stable,21.07,fair,high_load,high,8.2537,23.5819
9.5026,9502.6,2185.6,falling,15.9,strong,high_load,high,18.359,52.4544
7.038,7038.0,1618.74,falling,5.79,strong,high_load,high,13.5974,38.8498
8.3179,8317.9,1913.12,falling,-10.76,strong,high_load,high,16.0702,45.9149
4.812,4812.0,1106.76,rising,-8.28,strong,high_load,high,9.2968,26.5622
4.7493,4749.3,1092.34,stable,24.36,strong,high_load,high,9.1757,26.2162
8.9335,8933.5,2054.7,falling,8.33,strong,high_load,high,17.2595,49.3128
11.0497,11049.7,2541.43,stable,7.1,strong,high_load,high,21.348,60.9943
5.6616,5661.6,1302.17,stable,-10.37,strong,high_load,high,10.9382,31.2521
9.0762,9076.2,2087.53,stable,17.87,strong,high_load,high,17.5353,50.1007
6.6566,6656.6,1531.02,rising,10.49,strong,high_load,high,12.8606,36.7445
5.4071,5407.1,1243.63,falling,22.21,strong,high_load,high,10.4465,29.8471
8.9852,8985.2,2066.6,rising,-1.12,strong,high_load,high,17.3594,49.5984
5.4616,5461.6,1256.17,stable,-10.15,strong,high_load,high,10.5518,30.1481
11.584,11584.0,2664.32,rising,-14.67,strong,high_load,high,22.3803,63.9437
5.3777,5377.7,1236.87,rising,12.09,fair,high_load,high,10.3897,29.6849
9.2028,9202.8,2116.64,falling,-8.1,strong,high_load,high,17.7798,50.7994
9.8306,9830.6,2261.04,falling,13.6,strong,high_load,high,18.9927,54.265
9.8062,9806.2,2255.43,falling,17.37,fair,high_load,high,18.9456,54.1303
6.5942,6594.2,1516.67,falling,-5.08,strong,high_load,high,12.74,36.4001
3.5808,3580.8,823.58,rising,-8.3,fair,high_load,high,6.9181,19.7659
7.8334,7833.4,1801.68,stable,-8.73,strong,high_load,high,15.1341,43.2403
4.4337,4433.7,1019.75,stable,21.56,strong,high_load,high,8.5659,24.474
9.7736,9773.6,2247.93,falling,17.66,strong,high_load,high,18.8826,53.9503
9.0915,9091.5,2091.05,falling,21.56,strong,high_load,high,17.5648,50.1852
4.2102,4210.2,968.35,rising,-12.44,fair,high_load,high,8.1341,23.2404
5.3318,5331.8,1226.31,rising,13.99,strong,high_load,high,10.301,29.4314
