module,location,rcwl,pir,rssi,uptime,heap,temperature,humidity,recommendation_type,severity
MOD_PC_01,LIVING_ROOM,0,0,-70,46793,34911,30.8,55.9,turn_off_ac_vacant,high
MOD_ESP_02,BEDROOM,0,0,-51,30642,10717,34.3,50.6,turn_off_ac_vacant,high
MOD_ESP_02,KITCHEN,0,0,-67,45547,17650,29.4,52.1,turn_off_ac_vacant,medium
MOD_ROOM_01,OFFICE,0,0,-65,58572,21134,29.6,54.9,turn_off_ac_vacant,medium
MOD_PC_02,M_ROOM,0,0,-69,2125,24805,31.5,69.5,turn_off_ac_vacant,high
MOD_PC_01,KITCHEN,0,0,-74,55375,12165,32.7,46.9,turn_off_ac_vacant,high
MOD_ESP_02,BEDROOM,0,0,-50,68388,40695,34.6,41.2,turn_off_ac_vacant,high
MOD_ESP_01,M_ROOM,0,0,-72,54699,34797,28.5,49.6,turn_off_ac_vacant,medium
MOD_ROOM_01,OFFICE,0,0,-64,70436,24412,30.4,64.8,turn_off_ac_vacant,high
MOD_ESP_02,LAB,0,0,-64,72021,31122,33.3,50.8,turn_off_ac_vacant,high
MOD_PC_01,LAB,0,0,-52,10819,30691,28.7,41.8,turn_off_ac_vacant,medium
MOD_PC_02,M_ROOM,0,0,-55,35828,28485,29.8,56.3,turn_off_ac_vacant,medium
MOD_ROOM_01,BEDROOM,0,0,-72,60025,15862,34.4,64.1,turn_off_ac_vacant,high
MOD_ESP_01,OFFICE,0,0,-70,31013,27541,29.0,46.6,turn_off_ac_vacant,medium
MOD_ROOM_01,OFFICE,0,0,-65,38296,42225,34.1,44.8,turn_off_ac_vacant,high
MOD_PC_01,OFFICE,0,0,-51,75862,17698,34.8,54.0,turn_off_ac_vacant,high
MOD_PC_02,LAB,0,0,-73,59109,44376,29.1,43.2,turn_off_ac_vacant,medium
MOD_ESP_02,BEDROOM,0,0,-53,81209,41649,29.2,54.8,turn_off_ac_vacant,medium
MOD_PC_02,KITCHEN,0,0,-50,74879,30736,30.4,46.3,turn_off_ac_vacant,high
MOD_ROOM_01,LIVING_ROOM,0,0,-51,23064,34044,30.1,47.4,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-62,65166,37637,30.4,42.9,turn_off_ac_vacant,high
MOD_PC_01,OFFICE,0,0,-69,12686,43571,33.7,47.6,turn_off_ac_vacant,high
MOD_PC_01,M_ROOM,0,0,-56,37476,22244,32.0,60.4,turn_off_ac_vacant,high
MOD_ESP_02,M_ROOM,0,0,-66,36522,38970,33.4,68.9,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-70,36143,17016,34.3,65.5,turn_off_ac_vacant,high
MOD_ESP_02,KITCHEN,0,0,-55,41576,27963,30.6,55.2,turn_off_ac_vacant,high
MOD_ESP_02,LAB,0,0,-52,26341,11547,28.8,49.0,turn_off_ac_vacant,medium
MOD_PC_01,LIVING_ROOM,0,0,-56,1527,14147,31.1,61.3,turn_off_ac_vacant,high
MOD_PC_01,KITCHEN,0,0,-69,8721,25182,29.3,59.1,turn_off_ac_vacant,medium
MOD_ROOM_01,KITCHEN,0,0,-70,77978,47757,31.8,48.7,turn_off_ac_vacant,high
MOD_PC_02,BEDROOM,0,0,-68,40136,20983,30.8,65.9,turn_off_ac_vacant,high
MOD_ESP_02,LAB,0,0,-75,13647,42447,29.9,50.0,turn_off_ac_vacant,medium
MOD_PC_02,LIVING_ROOM,0,0,-67,31842,27004,31.6,56.7,turn_off_ac_vacant,high
MOD_ESP_01,LAB,0,0,-69,21389,13763,33.5,42.7,turn_off_ac_vacant,high
MOD_PC_02,LIVING_ROOM,0,0,-59,46170,27878,33.1,50.7,turn_off_ac_vacant,high
MOD_ROOM_01,LAB,0,0,-62,56799,32189,28.9,55.7,turn_off_ac_vacant,medium
MOD_PC_01,OFFICE,0,0,-53,48881,32023,31.1,59.1,turn_off_ac_vacant,high
MOD_ESP_02,M_ROOM,0,0,-50,13305,22338,35.0,46.6,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-63,63325,22040,32.9,68.8,turn_off_ac_vacant,high
MOD_PC_01,LIVING_ROOM,0,0,-73,72997,47242,33.8,66.3,turn_off_ac_vacant,high
MOD_ROOM_01,KITCHEN,0,0,-66,26129,34663,34.2,48.1,turn_off_ac_vacant,high
MOD_ROOM_01,LIVING_ROOM,0,0,-68,80210,41248,33.6,59.3,turn_off_ac_vacant,high
MOD_ESP_01,LIVING_ROOM,0,0,-51,79283,32273,31.7,50.0,turn_off_ac_vacant,high
MOD_PC_01,BEDROOM,0,0,-59,39379,44808,28.6,42.7,turn_off_ac_vacant,medium
MOD_PC_02,KITCHEN,0,0,-74,10123,34742,30.2,52.8,turn_off_ac_vacant,high
MOD_PC_02,KITCHEN,0,0,-52,21339,23948,31.2,66.6,turn_off_ac_vacant,high
MOD_PC_02,BEDROOM,0,0,-52,45856,10206,33.1,43.3,turn_off_ac_vacant,high
MOD_ESP_02,M_ROOM,0,0,-65,13157,23485,34.8,66.0,turn_off_ac_vacant,high
MOD_ESP_02,KITCHEN,0,0,-50,3719,40657,33.3,50.2,turn_off_ac_vacant,high
MOD_ESP_01,BEDROOM,0,0,-63,69690,42940,28.9,62.1,turn_off_ac_vacant,medium
MOD_ESP_02,LAB,0,0,-73,75715,20911,30.2,58.7,turn_off_ac_vacant,high
MOD_PC_02,LIVING_ROOM,0,0,-61,70132,23106,30.3,63.8,turn_off_ac_vacant,high
MOD_PC_01,LIVING_ROOM,0,0,-52,10498,30595,33.7,61.9,turn_off_ac_vacant,high
MOD_ESP_01,BEDROOM,0,0,-75,6593,32954,29.5,40.6,turn_off_ac_vacant,medium
MOD_PC_01,KITCHEN,0,0,-66,54524,11401,34.8,48.7,turn_off_ac_vacant,high
MOD_ESP_02,OFFICE,0,0,-57,43726,13871,31.5,48.7,turn_off_ac_vacant,high
MOD_PC_01,LIVING_ROOM,0,0,-57,12519,32408,29.7,60.7,turn_off_ac_vacant,medium
MOD_ESP_01,LAB,0,0,-66,31264,14493,33.9,42.7,turn_off_ac_vacant,high
MOD_ESP_01,BEDROOM,1,0,-68,5459,15695,24.1,58.2,align_motion_sensing,medium
MOD_ESP_01,BEDROOM,1,0,-63,60021,18698,27.7,57.9,align_motion_sensing,medium
MOD_PC_01,LAB,1,0,-69,5194,49468,27.1,51.6,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-62,84294,23198,28.0,58.2,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-58,78138,11663,25.1,45.7,align_motion_sensing,medium
MOD_PC_01,LIVING_ROOM,1,0,-65,17399,42950,25.2,56.5,align_motion_sensing,medium
MOD_PC_01,LAB,1,0,-53,20307,36055,26.7,57.3,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-59,32369,23467,24.2,46.6,align_motion_sensing,medium
MOD_PC_02,BEDROOM,1,0,-50,62305,15178,26.1,50.8,align_motion_sensing,medium
MOD_PC_01,M_ROOM,1,0,-68,68715,42629,26.0,48.0,align_motion_sensing,medium
MOD_PC_02,KITCHEN,1,0,-52,79626,22712,24.5,55.3,align_motion_sensing,medium
MOD_ESP_01,LAB,1,0,-59,53878,15007,27.4,50.2,align_motion_sensing,medium
MOD_ROOM_01,LIVING_ROOM,1,0,-67,6995,13762,26.1,57.7,align_motion_sensing,medium
MOD_ESP_01,KITCHEN,1,0,-61,28252,40568,26.8,53.6,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-61,76129,48715,27.5,46.2,align_motion_sensing,medium
MOD_ESP_01,BEDROOM,1,0,-66,6567,10030,26.4,52.8,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-57,10932,38411,24.3,57.4,align_motion_sensing,medium
MOD_ROOM_01,KITCHEN,1,0,-60,55873,38111,27.9,59.2,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-69,28114,43991,25.8,47.7,align_motion_sensing,medium
MOD_ESP_02,OFFICE,1,0,-67,64354,42385,27.5,41.1,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-72,17464,46428,26.4,42.3,align_motion_sensing,medium
MOD_PC_01,LIVING_ROOM,1,0,-68,14737,26387,27.8,44.5,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-65,41157,47994,27.8,57.8,align_motion_sensing,medium
MOD_ESP_02,LAB,1,0,-57,80136,36096,26.0,49.1,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-64,70116,27397,27.9,49.5,align_motion_sensing,medium
MOD_PC_01,OFFICE,1,0,-51,593,19073,24.4,52.1,align_motion_sensing,medium
MOD_PC_02,BEDROOM,1,0,-61,27429,33644,26.4,56.2,align_motion_sensing,medium
MOD_ESP_01,LIVING_ROOM,1,0,-54,37469,15412,24.3,44.4,align_motion_sensing,medium
MOD_PC_01,OFFICE,1,0,-63,34522,48066,25.3,57.7,align_motion_sensing,medium
MOD_ESP_02,KITCHEN,1,0,-67,50604,28610,26.7,40.4,align_motion_sensing,medium
MOD_PC_02,LIVING_ROOM,1,0,-57,63559,18596,25.8,41.5,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-73,83114,45672,24.1,48.4,align_motion_sensing,medium
MOD_ESP_01,OFFICE,1,0,-56,80320,25831,25.5,59.2,align_motion_sensing,medium
MOD_PC_02,KITCHEN,1,0,-66,44969,21011,24.8,45.0,align_motion_sensing,medium
MOD_ROOM_01,OFFICE,1,0,-71,81220,15037,24.7,45.3,align_motion_sensing,medium
MOD_ESP_01,LAB,1,0,-74,36597,46078,25.7,48.5,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-67,28971,35146,26.5,54.1,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-52,37447,15525,25.5,52.5,align_motion_sensing,medium
MOD_PC_01,M_ROOM,1,0,-66,65515,40972,26.9,40.3,align_motion_sensing,medium
MOD_ESP_01,M_ROOM,1,0,-59,47397,47544,24.9,41.8,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-67,24295,14645,26.1,53.5,align_motion_sensing,medium
MOD_ESP_02,LAB,1,0,-74,76430,31563,27.3,55.1,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-67,30499,47916,25.5,53.4,align_motion_sensing,medium
MOD_ESP_02,LAB,1,0,-54,74014,15755,26.0,42.1,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-58,6571,26762,24.3,59.2,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-51,21065,44004,27.6,52.3,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-62,33611,25558,27.3,57.5,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-63,21271,31101,25.4,45.5,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-69,80927,32757,25.4,50.7,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-71,75455,46408,27.9,45.2,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-66,63898,16645,24.1,43.1,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-56,49436,34879,25.0,56.5,align_motion_sensing,medium
MOD_ESP_01,BEDROOM,1,0,-72,9726,33639,25.0,40.9,align_motion_sensing,medium
MOD_PC_02,KITCHEN,1,0,-75,53671,12448,24.1,57.7,align_motion_sensing,medium
MOD_ESP_01,BEDROOM,1,0,-52,76721,40316,27.0,41.1,align_motion_sensing,medium
MOD_ROOM_01,BEDROOM,1,0,-56,34283,42030,27.1,54.1,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-64,39905,19174,24.6,52.9,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-72,72247,15389,25.6,46.0,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-75,7388,24241,27.2,48.9,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-61,45205,13538,27.0,45.0,align_motion_sensing,medium
MOD_ROOM_01,KITCHEN,1,0,-54,61979,27496,25.2,57.1,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-73,29939,49588,25.0,47.5,align_motion_sensing,medium
MOD_ESP_01,LAB,1,0,-61,11519,45030,24.3,51.7,align_motion_sensing,medium
MOD_ESP_01,M_ROOM,1,0,-65,7950,16569,25.2,43.5,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-64,44829,40959,24.6,51.0,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-72,57542,24969,27.3,51.6,align_motion_sensing,medium
MOD_ESP_01,KITCHEN,1,0,-61,61264,48344,24.1,45.9,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-73,35257,35941,26.4,47.4,align_motion_sensing,medium
MOD_PC_02,BEDROOM,1,0,-51,18007,39787,24.5,49.1,align_motion_sensing,medium
MOD_PC_02,BEDROOM,1,0,-75,22291,27317,27.9,55.0,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-72,55151,28741,27.0,42.1,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-74,12550,19528,27.3,51.6,align_motion_sensing,medium
MOD_PC_02,OFFICE,1,0,-61,10545,39107,24.5,57.2,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-73,57667,49391,25.0,51.3,align_motion_sensing,medium
MOD_ESP_02,KITCHEN,1,0,-55,8482,46415,24.2,45.6,align_motion_sensing,medium
MOD_PC_02,KITCHEN,1,0,-52,13345,46914,24.3,42.4,align_motion_sensing,medium
MOD_ROOM_01,LIVING_ROOM,1,0,-56,79014,19269,24.2,43.2,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-61,76475,26305,27.6,57.6,align_motion_sensing,medium
MOD_ROOM_01,KITCHEN,1,0,-72,64654,10648,27.3,51.2,align_motion_sensing,medium
MOD_ESP_02,KITCHEN,1,0,-75,77259,41051,25.9,43.3,align_motion_sensing,medium
MOD_ESP_01,OFFICE,1,0,-64,74562,33895,25.2,55.0,align_motion_sensing,medium
MOD_ESP_02,LAB,1,0,-61,9673,36583,26.5,46.7,align_motion_sensing,medium
MOD_ESP_02,BEDROOM,1,0,-73,11844,21954,26.4,58.1,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-72,79299,35581,27.8,51.7,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-73,35249,45606,25.2,40.1,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-54,41505,24083,24.4,57.3,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-65,77744,44564,26.2,44.9,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-59,77497,30874,26.9,41.6,align_motion_sensing,medium
MOD_PC_01,LAB,1,0,-52,39399,25733,26.3,51.9,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-75,86310,48223,25.1,44.9,align_motion_sensing,medium
MOD_ESP_01,OFFICE,1,0,-74,73193,24196,26.4,58.7,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-54,43182,45175,26.9,55.7,align_motion_sensing,medium
MOD_ROOM_01,KITCHEN,1,0,-73,33337,11097,27.4,48.7,align_motion_sensing,medium
MOD_PC_01,OFFICE,1,0,-59,55593,32227,26.0,40.5,align_motion_sensing,medium
MOD_PC_01,LAB,1,0,-71,17248,14166,25.2,51.2,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-71,8141,45309,25.7,53.7,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-74,30437,45817,27.7,42.4,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-66,76522,47618,25.0,56.9,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-51,80307,40999,27.2,56.1,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-61,70157,39578,24.4,56.2,align_motion_sensing,medium
MOD_ESP_01,LIVING_ROOM,1,0,-67,74366,21363,26.1,47.4,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-66,78032,46076,26.3,52.4,align_motion_sensing,medium
MOD_PC_02,LIVING_ROOM,1,0,-57,5117,22606,24.3,49.4,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-52,5013,44668,24.0,49.3,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-70,80624,31920,25.6,48.6,align_motion_sensing,medium
MOD_PC_01,OFFICE,1,0,-65,9829,19078,27.6,45.0,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-56,5946,15989,26.5,46.2,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-59,8156,33243,27.0,54.7,align_motion_sensing,medium
MOD_ROOM_01,LIVING_ROOM,1,0,-66,51069,36455,26.8,59.6,align_motion_sensing,medium
MOD_PC_02,M_ROOM,1,0,-51,57984,37133,24.5,49.0,align_motion_sensing,medium
MOD_ESP_01,KITCHEN,1,0,-73,31304,19940,26.2,49.9,align_motion_sensing,medium
MOD_ESP_02,LIVING_ROOM,1,0,-71,30521,11854,24.9,47.6,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-63,31602,49687,27.9,56.1,align_motion_sensing,medium
MOD_PC_01,LIVING_ROOM,1,0,-68,66862,15187,24.5,58.7,align_motion_sensing,medium
MOD_ESP_01,KITCHEN,1,0,-73,10236,33695,24.2,53.8,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-68,73845,48841,27.9,52.5,align_motion_sensing,medium
MOD_PC_01,LIVING_ROOM,1,0,-64,9681,30075,26.9,41.4,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-57,19547,12068,27.5,50.2,align_motion_sensing,medium
MOD_ESP_01,KITCHEN,1,0,-59,5726,13785,25.7,44.4,align_motion_sensing,medium
MOD_ESP_01,LIVING_ROOM,1,0,-51,20219,43254,27.4,55.4,align_motion_sensing,medium
MOD_PC_02,LAB,1,0,-61,69746,41909,26.1,59.1,align_motion_sensing,medium
MOD_ROOM_01,M_ROOM,1,0,-54,25363,24388,27.9,44.5,align_motion_sensing,medium
MOD_ESP_01,M_ROOM,1,0,-58,47347,19323,27.8,51.7,align_motion_sensing,medium
MOD_PC_01,OFFICE,1,0,-61,76840,17949,26.1,48.5,align_motion_sensing,medium
MOD_ESP_02,M_ROOM,1,0,-63,36524,27191,26.6,40.4,align_motion_sensing,medium
MOD_ROOM_01,OFFICE,1,0,-56,9154,28218,25.3,57.9,align_motion_sensing,medium
MOD_ROOM_01,LIVING_ROOM,1,0,-65,20227,16692,27.3,46.0,align_motion_sensing,medium
MOD_ESP_01,LAB,1,0,-67,66022,19067,27.0,57.6,align_motion_sensing,medium
MOD_PC_01,LIVING_ROOM,1,0,-54,22857,45103,26.4,42.2,align_motion_sensing,medium
MOD_PC_01,BEDROOM,1,0,-61,65219,34840,25.9,59.4,align_motion_sensing,medium
MOD_ROOM_01,LAB,1,0,-68,15518,48926,27.8,40.1,align_motion_sensing,medium
MOD_PC_01,KITCHEN,1,0,-66,50789,34324,24.1,56.5,align_motion_sensing,medium
MOD_ESP_02,LAB,1,0,-61,62869,36722,25.6,43.7,align_motion_sensing,medium
MOD_ESP_01,BEDROOM,1,0,-55,39329,37723,25.2,45.0,align_motion_sensing,medium
MOD_PC_02,BEDROOM,1,0,-73,25625,26867,26.0,41.2,align_motion_sensing,medium
MOD_ESP_01,M_ROOM,1,0,-57,46168,13256,24.6,41.6,align_motion_sensing,medium
MOD_PC_01,LAB,0,1,-76,44822,47070,24.9,55.2,check_link_quality,medium
MOD_ROOM_01,LAB,0,0,-80,27687,35975,26.3,56.9,check_link_quality,medium
